REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,PERCENT_WEIGHTED_ILI,PERCENT_UNWEIGHTED_ILI
Region 4,2008,31,384,42218,164,0.342306608,0.909564641
Region 4,2008,32,382,42273,163,0.325874371,0.903650084
Region 4,2008,33,547,44534,163,0.558999481,1.228275026
Region 4,2008,34,501,45874,164,0.381878022,1.092121899
Region 4,2008,35,757,48987,164,0.431974595,1.545307939
Region 4,2008,36,580,46714,165,0.430059004,1.241597808
Region 4,2008,37,562,48656,162,0.529994377,1.155047682
Region 4,2008,38,856,47698,160,0.648309097,1.794624513
Region 4,2008,39,771,52236,178,0.716336115,1.475993568
Region 4,2008,40,1526,125544,335,0.993264314,1.2155101
Region 4,2008,41,1688,130693,349,0.983261278,1.291576443
Region 4,2008,42,1553,130911,355,0.921560287,1.186302144
Region 4,2008,43,1876,139271,365,1.044946795,1.347014095
Region 4,2008,44,2289,148641,373,1.273050564,1.539951965
Region 4,2008,45,2134,140764,354,1.143331736,1.516012617
Region 4,2008,46,2482,143554,373,1.334483644,1.728966103
Region 4,2008,47,2438,148088,377,1.347033331,1.646318405
Region 4,2008,48,2275,108441,354,1.538373262,2.097914995
Region 4,2008,49,2518,136244,372,1.425611984,1.848154781
Region 4,2008,50,2625,128644,367,1.555387449,2.040514909
Region 4,2008,51,2450,127999,359,1.41345931,1.914077454
Region 4,2008,52,2446,79235,347,1.875873202,3.087019625
Region 4,2008,53,2445,98827,353,1.578382265,2.474020258
Region 4,2009,1,2195,130900,362,1.181011273,1.676852559
Region 4,2009,2,2278,130289,359,1.344432311,1.748420818
Region 4,2009,3,2905,128229,380,1.707313761,2.265478168
Region 4,2009,4,3809,148053,377,2.026766469,2.572727334
Region 4,2009,5,5082,146356,390,2.835526015,3.472355079
Region 4,2009,6,6356,153155,372,3.63905226,4.150044073
Region 4,2009,7,5125,146666,372,3.109443127,3.494334065
Region 4,2009,8,5550,156975,368,3.143492519,3.53559484
Region 4,2009,9,4896,138192,362,3.080559773,3.542896839
Region 4,2009,10,4208,138760,363,2.490062349,3.032574229
Region 4,2009,11,3118,139780,355,1.938449709,2.230648161
Region 4,2009,12,2587,143506,351,1.45748934,1.802712082
Region 4,2009,13,2028,132392,324,1.218845108,1.531814611
Region 4,2009,14,1720,124944,330,1.08534221,1.376616724
Region 4,2009,15,1693,121981,327,0.966986116,1.38792107
Region 4,2009,16,1692,134521,333,0.876776294,1.257796181
Region 4,2009,17,3520,136122,322,1.870976556,2.585915576
Region 4,2009,18,3152,131037,340,1.788185666,2.405427475
Region 4,2009,19,1748,101749,305,1.199562414,1.717953002
Region 4,2009,20,1459,97760,287,0.997748776,1.492430442
Region 4,2009,21,1336,92995,307,0.986734789,1.436636378
Region 4,2009,22,1103,95060,312,0.866509072,1.160319798
Region 4,2009,23,1102,94584,312,0.84642583,1.16510192
Region 4,2009,24,1223,101290,314,0.932341246,1.207424227
Region 4,2009,25,1471,99371,310,1.134347226,1.480311157
Region 4,2009,26,1576,88542,287,1.294466127,1.77994624
Region 4,2009,27,1268,94230,293,1.305118861,1.345643638
Region 4,2009,28,1471,101907,311,1.256851523,1.44347297
